地域,気温,降水量
北海道,9.5 ,1282 
青森県,11.0 ,1553 
岩手県,11.0 ,1322 
宮城県,13.6 ,1082 
秋田県,12.3 ,2017 
山形県,12.6 ,1124 
福島県,14.2 ,828 
茨城県,15.3 ,1283 
栃木県,15.2 ,1257 
群馬県,16.1 ,1047 
埼玉県,16.4 ,1056 
千葉県,17.2 ,1261 
東京都,16.8 ,1446 
神奈川県,17.1 ,1574 
新潟県,14.3 ,1796 
富山県,15.0 ,2751 
石川県,15.5 ,2766 
福井県,15.3 ,2632 
山梨県,16.0 ,1154 
長野県,13.0 ,886 
岐阜県,16.9 ,2087 
静岡県,17.7 ,2442 
愛知県,16.9 ,1696 
三重県,16.9 ,1720 
滋賀県,15.7 ,1863 
京都府,16.9 ,1770 
大阪府,17.4 ,1652 
兵庫県,17.4 ,2038 
奈良県,16.2 ,1647 
和歌山県,17.3 ,1951 
鳥取県,15.7 ,2184 
島根県,15.6 ,1977 
岡山県,16.3 ,1410 
広島県,16.8 ,1879 
山口県,16.0 ,1940 
徳島県,17.1 ,1760 
香川県,17.0 ,1575 
愛媛県,17.1 ,1797 
高知県,17.4 ,3093 
福岡県,17.7 ,1617 
佐賀県,17.4 ,1877 
長崎県,17.7 ,1821 
熊本県,17.5 ,1951 
大分県,17.1 ,1663 
宮崎県,17.8 ,3168 
鹿児島県,19.0 ,2397 
沖縄県,23.5 ,2470 
