menu, category, price, cal
Blended coffee, drink, 270, 7
American coffee, drink, 270, 7
Espresso coffee, drink, 270, 10
Cappuccino, drink, 320, 87
Cafe latte, drink, 320, 93
Honey cafe au lait, drink, 340, 207
Soy milk tea, drink, 360, 88
Cafe mocha, drink, 410, 228
Tea, drink, 220, 2
Rooibos tea, drink, 250, 2
Royal milk tea, drink, 350, 116
Soy milk latte, drink, 390, 109
Cocoa, drink, 380, 244
Clock monsieur, toast, 320, 221
Toast, toast, 190, 254
Cheese toast, toast, 250, 317
Milk chocolate mousse, dessert, 390, 335
Stick shoe custard, dessert, 250, 257
Stick shoe chocolate, dessert, 250, 263
Baked cheese cake, dessert, 410, 335
